,frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,frontSightDistance,backSightDistance,dhw,thw,ttc,precedingXVelocity,precedingId,followingId,leftPrecedingId,leftAlongsideId,leftFollowingId,rightPrecedingId,rightAlongsideId,rightFollowingId,laneId
24,1.0,1,401.33,21.69,4.85,2.12,41.18,0.01,0.35,0.01,8.54,403.28,0.0,0.0,0.0,0.0,0,14,0,0,0,0,0,6,5
57,1.0,2,131.99,9.39,4.24,1.92,-32.29,-0.02,-0.18,-0.03,133.55,278.27,118.25,3.66,-17.27,-39.13,13,8,0,0,4,0,0,0,2
82,2.0,2,99.62,9.35,4.24,1.92,-32.41,-0.07,-0.08,-0.03,101.16,310.66,0.0,0.0,0.0,0.0,0,8,0,0,4,0,0,0,2
107,3.0,2,67.2,9.26,4.24,1.92,-32.5,-0.09,-0.12,0.01,68.72,343.1,0.0,0.0,0.0,0.0,0,8,0,0,4,0,0,0,2
132,4.0,2,34.66,9.19,4.24,1.92,-32.65,-0.04,-0.19,0.06,36.18,375.64,0.0,0.0,0.0,0.0,0,8,0,0,4,0,0,0,2
157,5.0,2,1.88,9.19,4.24,1.92,-32.86,0.04,-0.22,0.07,3.44,408.38,0.0,0.0,0.0,0.0,0,8,0,0,4,0,0,0,2
187,1.0,3,216.16,21.63,3.94,1.92,35.88,-0.03,0.2,-0.02,194.29,217.53,95.5,2.66,-16.09,41.81,14,7,0,0,0,10,0,11,5
212,2.0,3,252.16,21.58,3.94,1.92,36.05,-0.04,0.13,0.0,158.26,253.56,101.55,2.81,-16.38,42.24,14,7,0,0,0,6,10,11,5
237,3.0,3,288.28,21.55,3.94,1.92,36.14,-0.04,0.08,0.01,122.08,289.74,107.91,2.98,-16.33,42.74,14,7,0,0,0,6,0,10,5
262,4.0,3,324.47,21.52,3.94,1.92,36.22,-0.02,0.08,0.05,85.9,325.92,0.0,0.0,0.0,0.0,0,7,0,0,0,6,0,10,5
287,5.0,3,360.71,21.52,3.94,1.92,36.31,0.05,0.12,0.15,49.67,362.15,0.0,0.0,0.0,0.0,0,7,0,0,0,0,6,10,5
344,1.0,4,226.46,13.23,5.05,2.22,-42.8,0.12,-0.01,-0.03,228.4,183.42,0.0,0.0,0.0,0.0,0,5,0,0,0,8,0,9,3
369,2.0,4,183.64,13.34,5.05,2.22,-42.76,0.03,0.04,-0.11,185.6,226.22,0.0,0.0,0.0,0.0,0,5,0,0,0,8,0,9,3
394,3.0,4,140.97,13.29,5.05,2.22,-42.77,-0.1,-0.05,-0.07,142.95,268.87,0.0,0.0,0.0,0.0,0,5,0,0,0,2,8,9,3
419,4.0,4,98.19,13.17,5.05,2.22,-42.82,-0.13,-0.04,0.02,100.15,311.67,0.0,0.0,0.0,0.0,0,5,0,0,0,2,0,8,3
444,5.0,4,55.25,13.05,5.05,2.22,-42.79,-0.06,0.11,0.13,57.2,354.62,0.0,0.0,0.0,0.0,0,5,0,0,0,2,0,8,3
505,1.0,5,268.74,13.78,4.24,1.82,-42.93,-0.04,-0.43,0.01,270.28,141.53,37.23,0.86,287.56,-42.8,4,0,0,0,0,8,0,9,3
530,2.0,5,225.57,13.75,4.24,1.82,-43.27,-0.04,-0.23,-0.01,227.13,184.69,36.88,0.85,72.8,-42.76,4,0,0,0,0,8,0,9,3
555,3.0,5,182.19,13.68,4.24,1.82,-43.4,-0.06,-0.04,0.03,183.73,228.09,36.16,0.83,57.39,-42.77,4,0,0,0,0,8,0,9,3
580,4.0,5,138.77,13.66,4.24,1.82,-43.39,0.03,0.0,0.05,140.37,271.45,35.52,0.82,62.21,-42.82,4,17,0,0,0,8,0,9,3
605,5.0,5,95.43,13.73,4.24,1.82,-43.47,0.04,-0.2,-0.04,97.02,314.8,35.13,0.81,52.0,-42.79,4,9,0,0,0,8,0,16,3
687,1.0,6,263.98,25.65,11.82,2.5,23.26,-0.05,0.03,-0.07,142.19,269.63,0.0,0.0,0.0,0.0,0,10,14,0,3,0,0,0,6
712,2.0,6,287.27,25.54,11.82,2.5,23.31,-0.15,0.04,-0.04,118.8,293.02,0.0,0.0,0.0,0.0,0,10,14,0,3,0,0,0,6
737,3.0,6,310.62,25.37,11.82,2.5,23.33,-0.15,0.01,0.04,95.3,316.52,0.0,0.0,0.0,0.0,0,10,14,0,3,0,0,0,6
762,4.0,6,333.94,25.25,11.82,2.5,23.34,-0.06,0.0,0.08,71.85,339.97,0.0,0.0,0.0,0.0,0,10,0,0,3,0,0,0,6
787,5.0,6,357.28,25.25,11.82,2.5,23.34,0.02,0.01,0.05,48.41,363.41,0.0,0.0,0.0,0.0,0,10,0,3,7,0,0,0,6
872,1.0,7,182.64,22.02,4.75,2.02,32.91,-0.16,0.37,0.05,227.38,184.43,28.77,0.87,-9.66,35.88,3,12,0,0,0,11,0,0,5
897,2.0,7,215.76,21.89,4.75,2.02,33.28,-0.15,0.36,0.01,194.24,217.58,31.64,0.95,-11.38,36.05,3,12,0,0,0,11,0,0,5
922,3.0,7,249.21,21.72,4.75,2.02,33.63,-0.14,0.35,0.07,160.79,251.03,34.32,1.02,-13.59,36.14,3,12,0,0,0,11,0,0,5
947,4.0,7,283.01,21.63,4.75,2.02,33.96,-0.01,0.3,0.1,127.03,284.79,36.72,1.08,-16.19,36.22,3,12,0,0,0,10,0,11,5
972,5.0,7,317.13,21.68,4.75,2.02,34.21,0.06,0.2,0.04,92.87,318.95,38.84,1.13,-18.45,36.31,3,12,0,0,0,6,10,11,5
1067,1.0,8,208.95,8.77,5.76,2.43,-31.51,-0.15,-0.07,-0.04,211.27,200.55,72.72,2.3,-92.64,-32.29,2,9,0,0,4,0,0,0,2
1092,2.0,8,177.43,8.57,5.76,2.43,-31.5,-0.11,0.06,0.11,179.74,232.08,73.57,2.33,-81.04,-32.41,2,9,0,0,4,0,0,0,2
1117,3.0,8,145.98,8.57,5.76,2.43,-31.4,0.05,0.12,0.08,148.26,263.56,74.53,2.37,-67.91,-32.5,2,9,0,4,5,0,0,0,2
1142,4.0,8,114.62,8.65,5.76,2.43,-31.28,0.1,0.1,-0.0,116.88,294.94,75.72,2.42,-55.23,-32.65,2,9,4,0,5,0,0,0,2
1167,5.0,8,83.41,8.73,5.76,2.43,-31.22,0.02,0.04,-0.08,85.75,326.07,77.28,2.47,-47.0,-32.86,2,16,4,0,5,0,0,0,2
1264,1.0,9,283.04,9.45,4.85,2.02,-36.16,0.15,-0.18,0.27,284.89,126.93,68.33,1.89,14.65,-31.51,8,0,5,0,0,0,0,0,2
1289,2.0,9,246.8,9.78,4.85,2.02,-36.33,0.51,-0.15,0.29,248.66,163.16,63.61,1.75,13.15,-31.5,8,0,5,0,0,0,0,0,2
1314,3.0,9,210.38,10.44,4.85,2.02,-36.44,0.78,-0.08,0.16,212.23,199.59,58.64,1.61,11.61,-31.4,8,0,5,0,0,0,0,0,2
1339,4.0,9,173.91,11.28,4.85,2.02,-36.51,0.84,-0.07,-0.02,175.79,236.03,53.53,1.46,10.21,-31.28,8,16,5,0,17,0,0,0,2
1364,5.0,9,137.38,12.07,4.85,2.02,-36.59,0.72,-0.07,-0.13,139.21,272.61,37.7,1.03,-5.47,-43.47,5,17,0,0,0,8,0,16,3
1487,1.0,10,223.57,25.63,9.2,2.5,23.36,-0.09,0.1,-0.09,184.13,227.69,31.21,1.33,331.24,23.26,6,11,14,0,3,0,0,0,6
1512,2.0,10,247.03,25.5,9.2,2.5,23.35,-0.07,-0.12,0.02,160.53,251.29,31.04,1.33,761.48,23.31,6,11,14,3,7,0,0,0,6
1537,3.0,10,270.3,25.47,9.2,2.5,23.17,-0.05,-0.21,-0.03,137.19,274.63,31.13,1.34,-190.95,23.33,6,11,3,0,7,0,0,0,6
1562,4.0,10,293.3,25.38,9.2,2.5,22.95,-0.13,-0.22,0.01,114.05,297.77,31.45,1.37,-81.26,23.34,6,11,3,0,7,0,0,0,6
1587,5.0,10,316.19,25.26,9.2,2.5,22.71,-0.05,-0.26,0.12,91.0,320.81,31.89,1.4,-50.2,23.34,6,11,3,7,12,0,0,0,6
1719,1.0,11,205.24,25.52,4.14,1.92,24.8,-0.05,-0.29,-0.09,205.1,206.72,14.18,0.57,9.75,23.36,10,0,3,0,7,0,0,0,6
1744,2.0,11,229.9,25.4,4.14,1.92,24.49,-0.11,-0.33,0.02,180.39,231.43,12.99,0.53,11.32,23.35,10,0,3,0,7,0,0,0,6
1769,3.0,11,254.24,25.33,4.14,1.92,24.15,0.01,-0.31,0.04,156.09,255.73,11.91,0.49,12.04,23.17,10,0,3,0,7,0,0,0,6
1794,4.0,11,278.28,25.37,4.14,1.92,23.9,0.02,-0.14,-0.18,132.03,279.78,10.87,0.45,11.33,22.95,10,0,7,0,12,0,0,0,6
1819,5.0,11,302.12,25.28,4.14,1.92,23.92,-0.35,0.22,-0.46,108.18,303.63,9.92,0.41,8.12,22.71,10,0,7,0,12,0,0,0,6
1954,1.0,12,46.7,21.96,3.64,1.82,35.9,0.03,0.17,-0.03,363.87,47.95,132.3,3.68,44.27,32.91,7,0,0,0,0,11,0,0,5
1979,2.0,12,82.69,21.94,3.64,1.82,36.09,-0.03,0.21,-0.0,327.89,83.93,129.44,3.58,45.96,33.28,7,15,0,0,0,11,0,0,5
2004,3.0,12,118.89,21.92,3.64,1.82,36.32,0.01,0.24,0.04,291.71,120.11,126.68,3.49,47.0,33.63,7,15,0,0,0,11,0,0,5
2029,4.0,12,155.28,21.97,3.64,1.82,36.56,0.06,0.22,-0.02,255.28,156.54,124.08,3.39,47.7,33.96,7,15,0,0,0,11,0,0,5
2054,5.0,12,191.92,22.01,3.64,1.82,36.69,-0.03,-0.0,-0.07,218.64,193.18,121.57,3.31,49.02,34.21,7,15,0,0,0,11,0,0,5
2236,1.0,13,8.08,11.14,5.66,2.02,-39.13,0.56,-0.69,0.07,10.36,401.46,0.0,0.0,0.0,0.0,0,2,0,0,4,0,0,0,2
2264,1.0,14,315.61,21.89,4.95,1.92,41.81,0.09,0.4,0.02,94.34,317.48,80.77,1.93,129.07,41.18,1,3,0,0,0,0,0,6,5
2289,2.0,14,357.65,22.0,4.95,1.92,42.24,0.13,0.47,0.01,52.25,359.57,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,6,5
2314,3.0,14,400.13,22.13,4.95,1.92,42.74,0.12,0.51,-0.0,9.8,402.02,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,6,5
2331,2.0,15,13.75,21.97,3.64,1.72,35.7,-0.1,0.09,0.08,396.86,14.96,65.3,1.83,-166.11,36.09,12,0,0,0,0,11,0,0,5
2356,3.0,15,49.6,22.0,3.64,1.72,35.78,0.06,0.06,0.06,360.94,50.88,65.65,1.83,-121.05,36.32,12,0,0,0,0,11,0,0,5
2381,4.0,15,85.39,22.06,3.64,1.72,35.83,0.07,0.05,0.03,325.21,86.61,66.26,1.85,-90.58,36.56,12,0,0,0,0,11,0,0,5
2406,5.0,15,121.23,22.15,3.64,1.72,35.87,0.11,0.03,0.0,289.28,122.54,67.05,1.87,-81.71,36.69,12,0,0,0,0,11,0,0,5
2629,4.0,16,380.59,9.57,4.55,2.02,-38.29,-0.07,0.08,0.04,382.26,29.56,201.83,5.27,113.72,-36.51,9,0,5,17,0,0,0,0,2
2654,5.0,16,342.33,9.54,4.55,2.02,-38.18,0.0,0.13,0.06,344.06,67.76,253.16,6.63,36.35,-31.22,8,0,9,17,0,0,0,0,2
2895,4.0,17,383.93,13.37,4.24,1.92,-44.84,0.05,-0.05,-0.04,385.49,26.33,240.91,5.37,166.48,-43.39,5,0,0,0,0,9,16,0,3
2920,5.0,17,339.0,13.37,4.24,1.92,-44.89,-0.02,-0.01,-0.04,340.57,71.25,196.77,4.38,23.72,-36.59,9,0,0,0,0,8,16,0,3
